,date,negative,neutral,positive,open,high,low,close,volume
1343,2018-05-19,1,17,3,8255.73046875,8372.0595703125,8183.3500976563,8247.1796875,4712399872.0
1344,2018-05-20,3,26,5,8246.990234375,8562.41015625,8205.240234375,8513.25,5191059968.0
1345,2018-05-21,1,25,2,8522.330078125,8557.51953125,8365.1201171875,8418.990234375,5154990080.0
1346,2018-05-22,9,32,6,8419.8701171875,8423.25,8004.580078125,8041.7797851563,5137010176.0
1347,2018-05-23,17,23,1,8037.080078125,8054.66015625,7507.8798828125,7557.8198242188,6491120128.0
1348,2018-05-24,8,23,3,7561.1201171875,7738.6000976563,7331.1401367188,7587.33984375,6049220096.0
1349,2018-05-25,6,29,4,7592.2998046875,7659.1401367188,7392.6499023438,7480.1401367188,4867829760.0
1350,2018-05-26,2,15,9,7486.4799804688,7595.16015625,7349.1201171875,7355.8798828125,4051539968.0
1351,2018-05-27,5,16,5,7362.080078125,7381.740234375,7270.9599609375,7368.2202148438,4056519936.0
1352,2018-05-28,5,13,5,7371.3100585938,7419.0498046875,7100.8901367188,7135.990234375,5040600064.0
1353,2018-05-29,10,24,4,7129.4599609375,7526.419921875,7090.6801757813,7472.58984375,5662660096.0
1354,2018-05-30,2,21,9,7469.7299804688,7573.7700195313,7313.6000976563,7406.5200195313,4922540032.0
1355,2018-05-31,6,23,4,7406.1499023438,7608.8999023438,7361.1298828125,7494.169921875,5127130112.0
1356,2018-06-01,7,24,1,7500.7001953125,7604.7299804688,7407.33984375,7541.4501953125,4921460224.0
1357,2018-06-02,4,16,3,7536.7202148438,7695.830078125,7497.259765625,7643.4501953125,4939299840.0
1358,2018-06-03,0,25,1,7632.08984375,7754.8901367188,7613.0400390625,7720.25,4851760128.0
1359,2018-06-04,7,27,3,7722.5297851563,7753.8198242188,7474.0400390625,7514.4702148438,4993169920.0
1360,2018-06-05,3,25,5,7500.8999023438,7643.2299804688,7397.0,7633.759765625,4961739776.0
1361,2018-06-06,10,34,9,7625.9702148438,7680.4301757813,7502.009765625,7653.9799804688,4692259840.0
1362,2018-06-07,17,45,12,7650.8198242188,7741.2700195313,7650.8198242188,7678.240234375,4485799936.0
1363,2018-06-08,4,37,12,7685.1401367188,7698.1899414063,7558.3999023438,7624.919921875,4227579904.0
1364,2018-06-09,2,23,10,7632.5200195313,7683.580078125,7531.9799804688,7531.9799804688,3845220096.0
1365,2018-06-10,5,37,4,7499.5498046875,7499.5498046875,6709.0698242188,6786.0200195313,5804839936.0
1366,2018-06-11,18,34,12,6799.2900390625,6910.1801757813,6706.6298828125,6906.919921875,4745269760.0
1367,2018-06-12,9,40,7,6905.8198242188,6907.9599609375,6542.080078125,6582.3598632813,4654380032.0
1368,2018-06-13,21,31,6,6596.8798828125,6631.66015625,6285.6298828125,6349.8999023438,5052349952.0
1369,2018-06-14,2,33,14,6342.75,6707.1401367188,6334.4599609375,6675.3500976563,5138710016.0
1370,2018-06-15,7,26,8,6674.080078125,6681.080078125,6433.8701171875,6456.580078125,3955389952.0
1371,2018-06-16,8,29,1,6455.4501953125,6592.490234375,6402.2900390625,6550.16015625,3194170112.0
1372,2018-06-17,3,30,4,6545.5297851563,6589.1098632813,6499.2700195313,6499.2700195313,3104019968.0
1373,2018-06-18,9,35,9,6510.0698242188,6781.1401367188,6446.6801757813,6734.8198242188,4039200000.0
1374,2018-06-19,7,22,12,6742.3901367188,6822.5,6709.919921875,6769.9399414063,4057029888.0
1375,2018-06-20,7,24,8,6770.759765625,6821.5600585938,6611.8798828125,6776.5498046875,3888640000.0
1376,2018-06-21,5,20,9,6780.08984375,6810.9399414063,6715.169921875,6729.740234375,3529129984.0
1377,2018-06-22,22,30,11,6737.8798828125,6747.080078125,6006.6000976563,6083.6899414063,5079810048.0
1378,2018-06-23,6,13,3,6090.1000976563,6224.8198242188,6071.8100585938,6162.4799804688,3431360000.0
1379,2018-06-24,5,21,2,6164.2797851563,6223.7797851563,5826.41015625,6173.2299804688,4566909952.0
1380,2018-06-25,15,31,4,6171.9702148438,6327.3701171875,6119.6801757813,6249.1801757813,5500810240.0
1381,2018-06-26,15,27,6,6253.5498046875,6290.16015625,6093.669921875,6093.669921875,3279759872.0
1382,2018-06-27,10,30,8,6084.3999023438,6180.0,6052.8500976563,6157.1298828125,3296219904.0
1383,2018-06-28,12,32,7,6153.16015625,6170.41015625,5873.0498046875,5903.4399414063,3467800064.0
